# 🤖 에이전트(무작위 밸류 진화) 시뮬레이션 리포트
> **예산**: 280 골드 / **분석 시간**: 2026. 6. 1. PM 3:57:41
> **평가 방식**: 각 레벨별 예선(풀 리그)을 통과한 총 60개의 정예 덱들이 결선 토너먼트 배틀로얄을 치른 승률 기반 순위표입니다. (시너지 타겟 덱 합류)

---

## 🏆 최종 최적해 순위 통계 (Top 60)

| 순위 | 덱 타입 | 덱 명칭 (발견된 시너지) | 승률 | 🛡️ 메인 탱커 | ⚔️ 메인 딜러 | 🎯 서브 딜러 | 코스트 | 구성 유닛 상세 |
| 47 | Syn(수학4) | **수학4** | **37.3%** | 양호실 도우미(3코2★) | 수능 만점자(4코2★) | 영어 프리토커(3코2★) | 59G | **수능 만점자(4코2★)**, 수학천재(2코2★), 수학 짝꿍(1코2★), 칠판 낙서꾼(2코1★), 오케스트라 단장(3코2★), **영어 프리토커(3코2★)**, 영어 프리토커(3코2★), **양호실 도우미(3코2★)** |
| 48 | 6L | **창체1** | **35.6%** | 체육부장(2코2★) | 진로진학 멘토(2코3★) | 칠판 낙서꾼(2코2★) | 60G | **진로진학 멘토(2코3★)**, 급식 당번(2코3★), **칠판 낙서꾼(2코2★)**, **체육부장(2코2★)**, 합창단 에이스(2코2★), 합창단 에이스(2코2★) |
| 49 | Syn(음악4) | **음악4_급식부3_보건부2** | **33.9%** | 양호실 도우미(3코2★) | 천재 피아니스트(4코2★) | 발명품 매니아(3코2★) | 64G | **천재 피아니스트(4코2★)**, 오케스트라 단장(3코2★), 합창단 에이스(2코2★), 리코더 요정(1코1★), **양호실 도우미(3코2★)**, 해외 보따리상(3코2★), 미술 치료사(3코2★), **발명품 매니아(3코2★)** |
| 50 | 8L | **국어2_과학2_사회1** | **30.5%** | 전교 체육부장(4코1★) | 논술의 신(4코2★) | 천재 피아니스트(4코1★) | 52G | **논술의 신(4코2★)**, 나이팅게일(4코2★), 전교 학생회장(4코1★), 전교 학생회장(4코1★), 미친 과학자(4코1★), **전교 체육부장(4코1★)**, **천재 피아니스트(4코1★)**, 천재 퀀트(4코1★), 천재 퀀트(4코1★) |
| 51 | Syn(사회4) | **방송부3_보건부2_창체1** | **30.5%** | 전교 체육부장(4코2★) | 천재 피아니스트(4코2★) | 영어 프리토커(3코2★) | 67G | 사회탐구 1타(3코1★), 지리덕후(1코1★), 전교 학생회장(4코2★), **전교 체육부장(4코2★)**, **천재 피아니스트(4코2★)**, 미술 치료사(3코2★), 또래 상담 에이스(3코2★), **영어 프리토커(3코2★)** |
| 52 | Syn(선도부6) | **선도부6_도덕2_체육2** | **28.8%** | 교장 선생님(5코1★) | 논술의 신(4코2★) | 천재 피아니스트(4코2★) | 54G | 올림피아드 금상(3코2★), 수채화 장인(3코2★), **교장 선생님(5코1★)**, 전교 체육부장(4코1★), 체육부장(2코1★), 칠판닦이 당번(1코1★), **논술의 신(4코2★)**, **천재 피아니스트(4코2★)** |
| 53 | Syn(선도부4) | **선도부4** | **27.1%** | 전교 체육부장(4코2★) | 천재 피아니스트(4코2★) | 시조 읊는 선비(3코2★) | 72G | **전교 체육부장(4코2★)**, 수채화 장인(3코2★), 올림피아드 금상(3코2★), 칠판닦이 당번(1코2★), **천재 피아니스트(4코2★)**, 해외 보따리상(3코2★), **시조 읊는 선비(3코2★)**, 올림피아드 금상(3코2★) |
| 54 | Syn(급식부7) | **급식부7_국어2_음악2** | **25.4%** | 전교 학생회장(4코2★) | 수석 연구원(5코1★) | 논술의 신(4코2★) | 41G | **전교 학생회장(4코2★)**, 수학 짝꿍(1코2★), **수석 연구원(5코1★)**, 오케스트라 단장(3코1★), 시조 읊는 선비(3코1★), 급식 당번(2코1★), 리코더 요정(1코1★), **논술의 신(4코2★)** |
| 55 | 7L | **영어2_선도부2_사회1** | **23.7%** | 올림피아드 금상(3코2★) | 발명품 매니아(3코2★) | 영어 프리토커(3코2★) | 63G | 오케스트라 단장(3코2★), **발명품 매니아(3코2★)**, **영어 프리토커(3코2★)**, 사회탐구 1타(3코2★), **올림피아드 금상(3코2★)**, 수채화 장인(3코2★), 해외 보따리상(3코2★) |
| 56 | Syn(국어4) | **급식부3_국어2_음악2** | **15.3%** | 전교 체육부장(4코2★) | 논술의 신(4코2★) | 천재 피아니스트(4코2★) | 77G | **논술의 신(4코2★)**, 시조 읊는 선비(3코2★), 문학소녀(2코1★), 천재 퀀트(4코2★), **전교 체육부장(4코2★)**, **천재 피아니스트(4코2★)**, 영어 프리토커(3코2★), 오케스트라 단장(3코2★) |
| 57 | Syn(체육4) | **체육4_육상부2_선도부2** | **13.6%** | 전교 체육부장(4코1★) | 논술의 신(4코2★) | 수채화 장인(3코2★) | 62G | 육상부 에이스(3코2★), 골목대장(2코2★), **전교 체육부장(4코1★)**, 달리기 선수(1코1★), 나이팅게일(4코2★), **논술의 신(4코2★)**, **수채화 장인(3코2★)**, 오케스트라 단장(3코2★) |
| 58 | Syn(도덕6) | **도덕6_보건부2_선도부2** | **13.6%** | 양호실 도우미(3코2★) | 미친 과학자(4코2★) | 수능 만점자(4코2★) | 63G | 나이팅게일(4코2★), **양호실 도우미(3코2★)**, 바른생활 사나이(2코2★), 복도 지킴이(1코2★), 교장 선생님(5코1★), 공익광고 모델(4코1★), **미친 과학자(4코2★)**, **수능 만점자(4코2★)** |
| 59 | Syn(육상부4) | **육상부4_체육2_과학2** | **11.9%** | 전교 체육부장(4코2★) | 논술의 신(4코2★) | 육상부 에이스(3코2★) | 67G | **논술의 신(4코2★)**, **육상부 에이스(3코2★)**, 달리기 선수(1코2★), 과학탐구원(1코1★), **전교 체육부장(4코2★)**, 나이팅게일(4코2★), 발명품 매니아(3코2★), 발명품 매니아(3코2★) |
| 60 | Syn(장난꾸러기6) | **장난꾸러기6_미술2_체육2** | **10.2%** | 전교 체육부장(4코2★) | 칠판 낙서꾼(2코2★) | 논술의 신(4코2★) | 44G | **칠판 낙서꾼(2코2★)**, 찰흙 조각가(1코2★), 피카소의 재림(5코1★), 발명품 매니아(3코1★), 골목대장(2코1★), 영단어 암기왕(1코1★), **전교 체육부장(4코2★)**, **논술의 신(4코2★)** |
